DAY_OF_WEEK,total_calls,calls_handled,calls_missed_raw,satisfied,calls_within_sla,satisfaction_rate,sla_rate,miss_rate
Friday,721254.0,698647.5,22606.5,255347,633838.523842796,36.548760283261586,87.88007052200695,3.1343327038740862
Monday,684493.5,662386.5,22107.0,272608,603161.3800394702,41.15542813749978,88.11791200931349,3.2296873527652195
Saturday,728715.0,702568.5,26146.5,279605,642342.2285778896,39.797542873043696,88.14724941546278,3.5880282414935882
Sunday,730203.0,705399.0,24804.0,249312,642788.5961016518,35.34340139410461,88.02875311408633,3.3968636118997044
Thursday,677407.5,653925.0,23482.5,257214,597093.2762491554,39.33386856290859,88.14388329759494,3.466524949900909
Tuesday,628299.0,606333.0,21966.0,223558,552041.2021947148,36.870498554424714,87.86281725654742,3.496106153280524
Wednesday,634272.0,616213.5,18058.5,238507,556709.3826781063,38.70525394201847,87.77139502896333,2.8471223702134103
